CSA,Czech Airlines a.s.
3NQ,Trans Mediterranean Airways
1XC,Panair do Brazil
5PH,Taxader Airlines
8IM,Military - Japan Maritime Self Defense Force
7SY,Private - Ashland Oil Company
0KD,Aerolineas Abaroa
9UQ,VASP / Private
2NV,Carvair ATL-98
6FZ,Air Nautic
4PM,Wien Alaska Airlines
8HR,West Coast Airlines
2ZW,Skyvan Airways
0KI,Middle East Airlines / Military - Turkish Air ForceC-47
3CN,Saudi Arabian Royal Flight
2MA,Military - Japan Air Self Defense Force
5EE,Air Afrique
9WJ,Tarom
7HW,Military - Chilean Air Force
1ZB,Mohawk Airlines
5RF,Air Madagascar
3BS,Air Inter
7TX,American Air  Export & Import Co.
5EJ,Fujita Koku Kabushki Kai
8WO,Military - U.S. Air Force / Military -  U.S. Air Force
2OT,Aeronaves de Panama
0YF,New York Airways
4QK,British Aircraft Corporation
8IP,Aerolineas Litoral Argentina
6TC,Commercial Air Taxi
0LG,South Central Airlines
8VT,Lloyd Aéreo Boliviano
1NY,Private air taxi
5FD,Fuji Airlines
3QP,British Eagle International Airlines
7IU,Paradise Airlines
1AZ,Taxi Aereo de Santander
9KL,Snow Valley Ski Lines
3CQ,Slick Airways - Cargo
1ND,Frontier Airlines
5FH,Private - Facilities Management Co.
8XM,Aden Airways
6HZ,Wein Alaska Airlines Inc.
0AE,Saudi Arabian Airlines
4SI,Private - Air Taxi
2CV,TASSA
6UA,Wiggins Airways
4FM,Servicios Aéreos Cochabamba
8XR,Interocean
1PW,Mustang Aviati
0ZJ,Bonanza Airlines
3RN,Linjefyg
7JS,Air Congo
5UF,Military - Vietnamese Air Force
9MK,Fleming Airways System Transport
7WW,SATCO
1OB,Lineas Aéreas Sud Americana
4GG,Alva Aircraft Service - Taxi
3RS,Fairbanks Air Service - Taxi
6JX,Aerovias del Norte
0BC,Air Cameroon
8LO,Aerolineas El Salvador
2DT,Zen Nippon
0OG,Fairways
4GL,Ortner Air Service - Taxi
7YP,Alia Royal Jordanian Airlines
6IC,British United Airways
9AH,Baker Aero Inc. - Taxi
3SM,Military - U.S. Army / Military - U.S. Army
1DY,Virgin Islands Airways
5VD,Rutas Internacionales Peruanes
3FQ,Filipinas Orient Airways
7XU,TAO
0PZ,International Control Commision
9AM,Aerolineas TAO
2SR,Skyway Air  - Taxi
6KV,Paul Kelly Flying Service Inc.
4UI,Edde Airlines
8NN,Trans World Airlines / Eastern Air Lines
6XZ,Spantax
0PE,Air Manila
3HJ,Ray A. Gardner - Taxi
2SV,Garuda  Indonesia Airlines / Garuda Indonesia Airlines
5KA,COHATA
9CF,Devener Flying Service - Taxi
7MS,Beatty Flying Service - Taxi
1EW,Belgian International Air Services
9PJ,Bassett Complany - Taxi
3HO,Servicios Americanos
6ZT,Layman Weikle - Taxi
5JF,Continental Air Services
8BK,American Flyers Airline
2TP,Kurtzer Flying Service - Taxi
0EB,Nordair
4WG,McCoy Flying Service - Taxi
2GT,Lackey Aero Company - Taxi
6YX,Air New Zealand
9QC,Aeropesca Colombia
8BP,Alamo Airways
1TU,Private - Mainline Aviation
5LY,NC Simpson - Taxi
3VL,Richland Aviation  - Taxi
7NQ,Aerovias Halcon
5YC,Alaska Coastal Airlines
9QH,Britannia Airways
2IM,Petroleum Helicopter
1SZ,Warsaw Aviation - Taxi
4KD,Gastonia Aviation - Taxi
8CI,Chester Airport
6NV,Transportno Aviatsionno Bulgaro-Soviet Obshchestvo
0FA,Aerocondor de Colombia
8PM,Red Bank Air Taxi
2HR,Channel Air Lift
5AW,Air Ferry
4KI,Syrian Arab Airlines
7CN,Avanti Aviation -Air Taxi
1US,Vercoa Air Service - Air Taxi
9FE,Lake Central Airlines
3XJ,Compagnie Air Transport
1HW,Trans World Airlines / Private
5ZB,Aeralpi
8RF,Harvey's Flying Service - Air Taxi
7CS,Harold E. Bell - Air Taxi
0UX,Ace Flying Service
4MC,Caribbean Airlines
2WO,Lexington Air Taxi
6OT,Military - Republiof South Korea Air Force
4ZG,Air Algerie
8RK,Military - Imperial Iranian Air Force
1JP,Globe Air
0TC,Pelita Air Service
3LG,Greylock Airways / Private
7DL,Greenbriar Airways
5OY,Air Canada
9GD,Air Ferry Ltd
7QP,British Midland Airways
1IU,Aer Turas
4AZ,Thai International
3LL,Vehu Akat
6DQ,Taiwan Aviation
0VV,Hudgin Air Service
8FI,Lester C. Bush - Air Taxi
2XM,Inter Island Air - Air Taxi
0IZ,Bruns Air Service - Air Taxi
4AE,China Airlines (Taiwan)
8SJ,Sadia
6CV,Crest Airlines - Air Taxi
9UA,Livingston Helicopter - Air Taxi
3NF,Priority Air - Air Taxi
1XR,Lao Cathay Airlines
5PW,Kauai Helicopter - Air Taxi
3ZJ,Tulakes Aviaiton - Air Taxi
7SN,Thai Airways
1KS,Executive Air - Air Taxi
9UF,Imperial Comm - Air Taxi
3MK,Tanana Air Taxi
6EO,Mililtary - U.S. Navy
4PB,Air Comores
8HG,Havasu City Air - Air Taxi
6RS,Royal Air Lao
0JX,Viking Airways - Air Taxi
4BC,Fortaire Aviation - Air Taxi
2MP,Ozark Air Lines / Private
6ET,Military - Russian Air Force
9WY,Ladeco
7GL,Canair Corp. - Air Taxi
1YP,Aerovias Rojas
9JC,Utility Helocopter - Air Taxi
3BH,Phillips Flying Service - Air Taxi
7TM,Los Angeles Airways
5DY,Houston-Beech - Air Taxi
9VD,Rinaldo Piaggio
2NI,Military Soviet  Air Force - Aeroflot
1YU,Purdue Airlines Inc.
4QZ,BKS Air Transport
2AM,Red Aircraft Service - Air Taxi
6SR,Aerolineas Flecha Austral
0KV,Mid Island Air - Air Taxi
8VI,Aitalia
2NN,North Central Airlines / Private
5FS,Island Sky Ferry - Air Taxi
4PE,Westwing
7HJ,Bulair TABSO
6SW,Far Aviation - Air Taxi / Speeds Flying - Air Taxi
9KA,Pan African Airlines
3CF,Kenai Air Service - Air Taxi
1MS,Military - U.S. Air Force / Military -  U.S. Army
5FW,Catalina - Vega - Air Taxi
8XB,Aerovias del Valle
7HO,Augusta Aviaiton - Air Taxi
0ZT,Barrow Air Service - Air Taxi
9KF,Cable Commuter
2CK,Stikine Air Service - Air Taxi
6UP,Wien Consolidated Airlines
4EB,Conquest Airways - Air Taxi
8WG,Northwest Moon - Air Taxi
1OL,Interior Airways
0ZY,Exportada De Sal S.A.
3RC,MaRobertson-Miller Airlines
2BP,Servicios Aéreos Especiales
5TU,ERA Helicopter
9LY,China Air Lines
7WL,Pudget Sound Air - Air Taxi
1OQ,Mineral County Airlines
4GV,Prinair
3QH,Venezolana Internacional de Aviacion
6IM,Leamon Flying Service
5TZ,Avion Airways
8LD,Islands of the Bahamas Inc
2DI,Wigmo
0NV,Simpson Air Service - Air Taxi
4FA,Ghana Airways
7XE,Argentina CAA
6IR,Flying W Airways
9AW,Aero Transporti Italiani
8KI,Compania Mexicana de Aviacion
1CN,Eureka Aero Inc. - Air Taxi
5US,Cascade Airways
3FF,Air South
7XJ,Interior Airways - Air Taxi
0PO,Safeway Airways
9ZB,Trans Isle Air
2SF,Halvorson - Air Taxi
1CS,Canairelief Air
4UX,Prior Aviatoin - Air Taxi
8MC,Military - Royal Lao Air Force
6XO,SATENA
0PT,Allegheny Airlines / Forth Corporation
3HY,Nordchurchaid
2RK,Metro Commuter - Air Taxi
5JP,Austin Airways
4UC,Channel Flying Service - Air Taxi
7MH,Nigeria Airways
1EL,Aroostook Air - Air Taxi
9OY,Galena Air Service - Air Taxi
3GD,Military - Royal HelleniAir Force
6YI,Polynesian Airlines
5JU,Buckeye Air Service - Air Taxi
8BZ,Charter -Federal Electricity Commission
7LL,TAG Airlines
0DQ,Pilgrim Airlines
4VV,Lineas Aéreas La Urraca
2GI,Avia-Taxi
6YM,Compania Dominicana de Aviacion
9QR,Suburban Airlines - Air Taxi
8AE,Bavaria Flug
1SJ,Paraense Transportes Aereos
0DV,Commuter Airline - Air Taxi
3VA,Grand Canyon Airlines
7NF,Royal Air Maroc
5XR,East Coast Air - Air Taxi
9PW,Military - Italian Air Force
2HB,Antillian Airlines
1SO,Somali Airlines
4KS,Executive Jet Sales Inc.
3UF,Aeroservice S de RL
6MK,Lehigh Acres Development Inc.
0FO,LADE
8PB,Reeder Flying Service
2HG,Dan Air Services
6ZL,Del Rio Flying Service - Air Taxi
4KX,Military - Forces Militaires Françaises
7CC,Military - United States Navy
6MP,Lineas Aereas Nacionales SA (Peru)
9ET,Dutch Continental Airways
3WY,Trans International Airlines
1HL,San Juan Air
5ZQ,Eagle Flight - Air Taxi
9RU,"Charter, Golden Eagle Aviation Inc."
7BH,Saturn Airways
0TM,Delaware Aviation - Air Taxi
9EY,Aerocosta Colombia
2WD,Southern Airways
6OI,Military - Vietnamese Air Force / Military - U.S. Army
4YU,Cargolux
8QZ,Jamair
2IE,Trans Caribbean Airways
0TR,Rousseau Aviaiton
4LV,American Airlines / Private
2VI,Balkan Bulgarian Airlines
5NN,L'Armée de L'Air
9FS,Fuerza Aérea del Peru
7QE,Korean Airlines
1IJ,Jamie Ramirez - Air Taxi
5AO,TAME
